id;type;title;relevance;image;location_type;coordinates;price;occupancy;description;Column1
urn:ngsi-ld:PoI:191;PoI;Avenida de la República Argentina;5;;Point;-3.709567,40.425408;gratis;sin límite;Importante avenida que sirve como eje en el sur de Madrid, conectando varias zonas residenciales y comerciales.;
urn:ngsi-ld:PoI:192;PoI;Avenida de los Toreros;4;;Point;-3.698912,40.407775;gratis;sin límite;Vía en el distrito de Vallehermoso, conocida por sus comercios y ambiente residencial.;
urn:ngsi-ld:PoI:193;PoI;Avenida de la Ciudad de Barcelona;4;;Point;-3.693576,40.412503;gratis;sin límite;Avenida destacada que conecta varios barrios de Madrid y ofrece acceso a diferentes servicios y comercios.;
urn:ngsi-ld:PoI:194;PoI;Avenida de la Paz;5;;Point;-3.670089,40.417657;gratis;sin límite;Vía principal en el distrito de Ciudad Lineal, conocida por su tránsito y accesibilidad a zonas comerciales.;
urn:ngsi-ld:PoI:195;PoI;Avenida de la Prensa;4;;Point;-3.707927,40.425699;gratis;sin límite;Importante avenida en el distrito de Chamberí, conocida por su actividad comercial y cultural.;
urn:ngsi-ld:PoI:196;PoI;Avenida del Manzanares;3;;Point;-3.714232,40.410455;gratis;sin límite;Vía significativa que bordea el río Manzanares, ofreciendo acceso a espacios verdes y recreativos.;
urn:ngsi-ld:PoI:197;PoI;Avenida de la Victoria;4;;Point;-3.712694,40.426790;gratis;sin límite;Vía en el distrito de Moncloa, conocida por su mezcla de residencias y comercios.;
urn:ngsi-ld:PoI:198;PoI;Avenida del General Perón;4;;Point;-3.699208,40.452167;gratis;sin límite;Vía importante en el barrio de Tetuán, que conecta diferentes zonas y ofrece servicios diversos.;
urn:ngsi-ld:PoI:199;PoI;Avenida de Sainz de Baranda;5;;Point;-3.672851,40.418237;gratis;sin límite;Vía destacada en el distrito de Retiro, conocida por su proximidad a parques y zonas residenciales.;
urn:ngsi-ld:PoI:200;PoI;Avenida de la Industria;4;;Point;-3.709465,40.436634;gratis;sin límite;Avenida comercial en el distrito de San Blas, importante para el comercio y los servicios.;
urn:ngsi-ld:PoI:201;PoI;Avenida del Cid;5;;Point;-3.707918,40.411934;gratis;sin límite;Vía en el barrio de Chamberí, conocida por su función de conexión entre diferentes zonas residenciales.;
urn:ngsi-ld:PoI:202;PoI;Avenida de la Libertad;4;;Point;-3.715154,40.419118;gratis;sin límite;Vía destacada en el distrito de Moncloa, con acceso a servicios y comercios.;
urn:ngsi-ld:PoI:203;PoI;Avenida de la Democracia;5;;Point;-3.670927,40.437284;gratis;sin límite;Vía importante en el distrito de Ciudad Lineal, que conecta diversas áreas residenciales y comerciales.;
urn:ngsi-ld:PoI:204;PoI;Avenida de San Luis;3;;Point;-3.664546,40.432713;gratis;sin límite;Vía importante que sirve de acceso a varias zonas residenciales y comerciales en el distrito de San Blas.;
urn:ngsi-ld:PoI:205;PoI;Avenida del Vallehermoso;4;;Point;-3.727271,40.449869;gratis;sin límite;Vía destacada en el distrito de Moncloa, conocida por su actividad comercial y residencial.;
urn:ngsi-ld:PoI:206;PoI;Avenida de Europa;5;;Point;-3.669385,40.455721;gratis;sin límite;Vía principal en el distrito de Chamartín, conocida por sus espacios comerciales y residenciales.;
urn:ngsi-ld:PoI:207;PoI;Avenida de Francisco Silvela;4;;Point;-3.673358,40.431280;gratis;sin límite;Vía importante en el distrito de Salamanca, con acceso a diversos servicios y comercios.;
urn:ngsi-ld:PoI:208;PoI;Avenida de Castilla;3;;Point;-3.702146,40.425567;gratis;sin límite;Vía destacada que cruza varios barrios y ofrece una mezcla de espacios comerciales y residenciales.;
urn:ngsi-ld:PoI:209;PoI;Avenida de Vallehermoso;5;;Point;-3.727558,40.448796;gratis;sin límite;Vía principal en el distrito de Moncloa, conocida por su importancia en la conexión de diferentes áreas.;
urn:ngsi-ld:PoI:210;PoI;Avenida de Luis Cabrera;4;;Point;-3.698823,40.423976;gratis;sin límite;Vía que sirve como conexión en el barrio de Chamberí, con acceso a diversos servicios y comercios.;
urn:ngsi-ld:PoI:211;PoI;Avenida de Oporto;4;;Point;-3.707469,40.408073;gratis;sin límite;Vía importante en el distrito de Latina, conocida por sus comercios y la cercanía a zonas residenciales.;
urn:ngsi-ld:PoI:212;PoI;Avenida del Cardenal Herrera Oria;5;;Point;-3.680621,40.481872;gratis;sin límite;Vía destacada en el norte de Madrid, conectando áreas residenciales y ofreciendo acceso a diferentes servicios.;
urn:ngsi-ld:PoI:213;PoI;Avenida de la Reina Victoria;4;;Point;-3.726834,40.439295;gratis;sin límite;Vía que conecta varias zonas residenciales y comerciales en el distrito de Moncloa.;
urn:ngsi-ld:PoI:214;PoI;Avenida de la Gran Vía de Hortaleza;3;;Point;-3.674421,40.455328;gratis;sin límite;Vía en el distrito de Hortaleza, conocida por su actividad comercial y cercanía a zonas residenciales.;
urn:ngsi-ld:PoI:215;PoI;Avenida de San Sebastián;5;;Point;-3.704266,40.433544;gratis;sin límite;Vía principal en el distrito de Chamartín, que sirve de acceso a diversas áreas comerciales y residenciales.;
urn:ngsi-ld:PoI:216;PoI;Avenida del Parque;4;;Point;-3.690689,40.427366;gratis;sin límite;Vía que cruza varios barrios ofreciendo acceso a parques y áreas residenciales.;
urn:ngsi-ld:PoI:217;PoI;Avenida de Andalucía;5;;Point;-3.692827,40.417684;gratis;sin límite;Vía importante que conecta con diferentes zonas de Madrid, conocida por su función en el tráfico y servicios.;
urn:ngsi-ld:PoI:218;PoI;Avenida del Mundo;3;;Point;-3.679444,40.432159;gratis;sin límite;Vía en el distrito de Argüelles, conocida por su cercanía a servicios y áreas residenciales.;
urn:ngsi-ld:PoI:219;PoI;Avenida del Río;4;;Point;-3.710267,40.408998;gratis;sin límite;Vía que bordea el río Manzanares, ofreciendo acceso a zonas recreativas y residenciales.;
urn:ngsi-ld:PoI:220;PoI;Avenida de la Verdad;5;;Point;-3.693208,40.433426;gratis;sin límite;Vía importante en el distrito de Vallehermoso, conocida por su acceso a áreas comerciales y residenciales.;
urn:ngsi-ld:PoI:231;PoI;Barrio de Malasaña;2;;Point;-3.703313,40.425658;gratis;sin límite;Barrio conocido por su ambiente alternativo y vibrante vida nocturna, con numerosos bares y tiendas independientes.;
urn:ngsi-ld:PoI:232;PoI;Biblioteca Nacional de España;1;;Point;-3.692079,40.424211;gratis;sin límite;Principal biblioteca del país, con una extensa colección de libros y documentos históricos, y un impresionante edificio.;
urn:ngsi-ld:PoI:233;PoI;Bulevar de Vallehermoso;4;;Point;-3.728250,40.448226;gratis;sin límite;Vía principal en el distrito de Moncloa, conocida por su mezcla de comercios y residencias.;
urn:ngsi-ld:PoI:234;PoI;Banco de España;2;;Point;-3.692946,40.418477;gratis;sin límite;Edificio emblemático que alberga la sede del banco central de España, con una arquitectura notable en el centro de Madrid.;
urn:ngsi-ld:PoI:235;PoI;Boulevard de los Condes;4;;Point;-3.703893,40.421267;gratis;sin límite;Vía destacada en el distrito de Chamberí, conocida por sus comercios y áreas residenciales.;
urn:ngsi-ld:PoI:236;PoI;Basilica de San Francisco el Grande;3;;Point;-3.711448,40.410477;gratis;sin límite;Impresionante basílica con una gran cúpula y ricos interiores, importante centro religioso y cultural.;
urn:ngsi-ld:PoI:237;PoI;Banco de Santander;5;;Point;-3.701792,40.421013;gratis;sin límite;Sucursal de uno de los bancos más importantes de España, ubicado en una zona céntrica de Madrid.;
urn:ngsi-ld:PoI:238;PoI;Barrio de La Latina;3;;Point;-3.711394,40.410462;gratis;sin límite;Barrio histórico conocido por sus tapas, mercados y ambiente animado, especialmente durante los fines de semana.;
urn:ngsi-ld:PoI:239;PoI;Biblioteca Municipal Iván de Vargas;4;;Point;-3.711173,40.408822;gratis;sin límite;Biblioteca pública con una amplia oferta de libros y actividades culturales en el distrito de La Latina.;
urn:ngsi-ld:PoI:240;PoI;Bulevar de la Avenida de la Paz;5;;Point;-3.671110,40.420614;gratis;sin límite;Vía principal en el distrito de Ciudad Lineal, conocida por sus espacios comerciales y residenciales.;
urn:ngsi-ld:PoI:241;PoI;Barrio de Chueca;2;;Point;-3.702633,40.423227;gratis;sin límite;Barrio conocido por su ambiente inclusivo y vibrante vida nocturna, con numerosos bares, restaurantes y tiendas.;
urn:ngsi-ld:PoI:242;PoI;Biblioteca Municipal Eugenio Trías;3;;Point;-3.703539,40.418924;gratis;sin límite;Biblioteca con una amplia colección de libros y espacios para actividades culturales, ubicada en el Parque de la Vaguada.;
urn:ngsi-ld:PoI:243;PoI;Bulevar de la Avenida de América;4;;Point;-3.668122,40.438445;gratis;sin límite;Vía importante que conecta diversos distritos y ofrece acceso a áreas comerciales y residenciales.;
urn:ngsi-ld:PoI:244;PoI;Basilica de Nuestra Señora de Atocha;3;;Point;-3.692559,40.407048;gratis;sin límite;Templo histórico en la zona de Atocha, con una rica historia religiosa y arquitectónica.;
urn:ngsi-ld:PoI:245;PoI;Barrio de Salamanca;2;;Point;-3.684026,40.428155;gratis;sin límite;Barrio elegante y de alto standing, conocido por sus tiendas de lujo y restaurantes de alta gama.;
urn:ngsi-ld:PoI:246;PoI;Biblioteca de San Sebastián;4;;Point;-3.692954,40.412348;gratis;sin límite;Biblioteca pública que ofrece una variada selección de libros y eventos culturales en el distrito de Chamberí.;
urn:ngsi-ld:PoI:247;PoI;Bulevar de los Reyes;4;;Point;-3.711596,40.421060;gratis;sin límite;Vía importante en el barrio de Moncloa, conocida por sus comercios y su cercanía a zonas residenciales.;
urn:ngsi-ld:PoI:248;PoI;Barrio de Lavapiés;3;;Point;-3.701866,40.411559;gratis;sin límite;Barrio multicultural con una rica oferta de restaurantes internacionales, mercados y eventos culturales.;
urn:ngsi-ld:PoI:249;PoI;Biblioteca de Vallehermoso;3;;Point;-3.728080,40.449241;gratis;sin límite;Biblioteca pública en el distrito de Moncloa, con una buena colección de libros y actividades para la comunidad.;
urn:ngsi-ld:PoI:250;PoI;Bulevar de la Castellana;2;;Point;-3.694334,40.453196;gratis;sin límite;Vía principal en el distrito financiero de Madrid, conocida por sus edificios de oficinas y centros comerciales.;
urn:ngsi-ld:PoI:251;PoI;Barrio de Argüelles;4;;Point;-3.714102,40.440242;gratis;sin límite;Barrio residencial con una mezcla de tiendas, restaurantes y acceso a espacios verdes como el Parque del Oeste.;
urn:ngsi-ld:PoI:252;PoI;Biblioteca Municipal José Luis Sampedro;5;;Point;-3.681777,40.453105;gratis;sin límite;Biblioteca pública en el distrito de Tetuán, con una oferta variada de libros y actividades culturales.;
urn:ngsi-ld:PoI:253;PoI;Bulevar del Tajo;4;;Point;-3.675620,40.442710;gratis;sin límite;Vía destacada en el distrito de Chamartín, conocida por su acceso a zonas comerciales y residenciales.;
urn:ngsi-ld:PoI:254;PoI;Barrio de Vallehermoso;3;;Point;-3.729013,40.448879;gratis;sin límite;Barrio tranquilo conocido por sus residencias y proximidad a la Universidad Complutense de Madrid.;
urn:ngsi-ld:PoI:255;PoI;Biblioteca de la Fundación Juan March;3;;Point;-3.691410,40.423540;gratis;sin límite;Biblioteca y centro cultural con una rica colección de libros y programación cultural en el barrio de Chamberí.;
urn:ngsi-ld:PoI:256;PoI;Bulevar de la Avenida de los Reyes;4;;Point;-3.724739,40.442618;gratis;sin límite;Vía importante en el distrito de Moncloa, conocida por su mezcla de comercios y residencias.;
urn:ngsi-ld:PoI:257;PoI;Barrio de Chamartín;5;;Point;-3.689766,40.457019;gratis;sin límite;Barrio elegante y de negocios, conocido por sus oficinas, centros comerciales y zonas residenciales de alto standing.;
urn:ngsi-ld:PoI:258;PoI;Biblioteca del Museo del Prado;2;;Point;-3.692643,40.413283;gratis;sin límite;Biblioteca especializada en arte, situada en el famoso Museo del Prado, con una colección relacionada con el arte y la historia.;
urn:ngsi-ld:PoI:259;PoI;Bulevar de los Príncipes;4;;Point;-3.674228,40.453077;gratis;sin límite;Vía destacada en el distrito de Chamartín, que conecta zonas residenciales y comerciales.;
urn:ngsi-ld:PoI:260;PoI;Barrio de San Blas;3;;Point;-3.647792,40.399618;gratis;sin límite;Barrio conocido por su ambiente familiar y su mezcla de espacios comerciales y residenciales.;
urn:ngsi-ld:PoI:261;PoI;Biblioteca Municipal Luis Rosales;4;;Point;-3.706722,40.438290;gratis;sin límite;Biblioteca pública en el distrito de Latina, con una amplia colección de libros y actividades culturales.;
urn:ngsi-ld:PoI:262;PoI;Bulevar del Parque de la Vaguada;5;;Point;-3.703342,40.453089;gratis;sin límite;Vía importante cerca del Parque de la Vaguada, con acceso a áreas residenciales y comerciales.;
urn:ngsi-ld:PoI:263;PoI;Barrio de Chamberí;3;;Point;-3.703098,40.428321;gratis;sin límite;Barrio residencial conocido por su arquitectura tradicional y una variedad de tiendas y restaurantes.;
urn:ngsi-ld:PoI:264;PoI;Biblioteca de Prado;3;;Point;-3.691647,40.413960;gratis;sin límite;Biblioteca en el área cercana al Museo del Prado, con una buena selección de libros y recursos sobre arte y cultura.;
urn:ngsi-ld:PoI:265;PoI;Bulevar de los Reyes Católicos;4;;Point;-3.717098,40.424490;gratis;sin límite;Vía importante en el distrito de Moncloa, con acceso a diversas tiendas y servicios.;
urn:ngsi-ld:PoI:266;PoI;Barrio de Lavapiés;3;;Point;-3.701866,40.411559;gratis;sin límite;Barrio multicultural con una rica oferta de restaurantes internacionales, mercados y eventos culturales.;
urn:ngsi-ld:PoI:267;PoI;Biblioteca Municipal Antonio Mingote;5;;Point;-3.663389,40.424180;gratis;sin límite;Biblioteca en el distrito de San Blas, conocida por su colección variada y programas culturales.;
urn:ngsi-ld:PoI:268;PoI;Bulevar de Vallehermoso;4;;Point;-3.726785,40.448369;gratis;sin límite;Vía principal en el distrito de Moncloa, conocida por su mezcla de comercios y residencias.;
urn:ngsi-ld:PoI:269;PoI;Barrio de Usera;4;;Point;-3.707689,40.397920;gratis;sin límite;Barrio residencial y multicultural conocido por su diversidad cultural y oferta de comercios y restaurantes.;
urn:ngsi-ld:PoI:270;PoI;Biblioteca Municipal Benito Pérez Galdós;3;;Point;-3.701332,40.423629;gratis;sin límite;Biblioteca en el barrio de Chamberí, con una amplia colección de libros y actividades para la comunidad.;
urn:ngsi-ld:PoI:271;PoI;Barrio de Vallehermoso;3;;Point;-3.728150,40.448490;gratis;sin límite;Barrio residencial con una mezcla de áreas comerciales y cercanía a la Universidad Complutense.;
urn:ngsi-ld:PoI:272;PoI;Bulevar del Carmen;4;;Point;-3.701920,40.408949;gratis;sin límite;Vía importante en el distrito de Latina, conocida por sus comercios y proximidad a áreas residenciales.;
urn:ngsi-ld:PoI:273;PoI;Biblioteca Municipal Francisco Ayala;4;;Point;-3.703370,40.419047;gratis;sin límite;Biblioteca pública en el distrito de Chamberí, con una buena selección de libros y actividades para todas las edades.;
urn:ngsi-ld:PoI:274;PoI;Barrio de Tetúan;4;;Point;-3.701238,40.451200;gratis;sin límite;Barrio diverso con una mezcla de áreas residenciales y comerciales, conocido por su vida activa y oferta cultural.;
urn:ngsi-ld:PoI:275;PoI;Bulevar de las Cortes;5;;Point;-3.709847,40.426258;gratis;sin límite;Vía principal en el barrio de Chamberí, con acceso a zonas comerciales y residenciales.;
urn:ngsi-ld:PoI:276;PoI;Biblioteca Municipal Luis García Montero;4;;Point;-3.682244,40.446161;gratis;sin límite;Biblioteca en el distrito de Tetuán, conocida por sus recursos y actividades culturales para la comunidad.;
urn:ngsi-ld:PoI:277;PoI;Barrio de Hortaleza;4;;Point;-3.657657,40.454938;gratis;sin límite;Barrio residencial conocido por sus espacios verdes, zonas comerciales y ambiente familiar.;
urn:ngsi-ld:PoI:278;PoI;Biblioteca de la Universidad Politécnica;3;;Point;-3.735223,40.453051;gratis;sin límite;Biblioteca universitaria con una amplia colección de libros técnicos y científicos, ubicada en la Universidad Politécnica.;
urn:ngsi-ld:PoI:279;PoI;Bulevar de la Paz;5;;Point;-3.669742,40.417628;gratis;sin límite;Vía destacada en el distrito de Ciudad Lineal, importante para el tránsito y acceso a diferentes zonas.;
urn:ngsi-ld:PoI:280;PoI;Barrio de Móstoles;3;;Point;-3.855410,40.323133;gratis;sin límite;Barrio en la periferia de Madrid conocido por su actividad comercial y residencias.;
urn:ngsi-ld:PoI:031;PoI;CaixaForum Madrid;3;;Point;-3.692167,40.410504;6€;300;El CaixaForum Madrid es un centro cultural y de exposiciones que ofrece una variada programación de arte, música, conferencias y talleres. Su arquitectura moderna, con un jardín vertical en su fachada, es una atracción en sí misma.;
urn:ngsi-ld:PoI:019;PoI;Calle de Alcalá;2;Calle_Alcala.jpg;Point;-3.682319,40.420986;0€;1000;La Calle de Alcalá es una de las principales arterias de Madrid, conocida por sus edificios históricos, tiendas y restaurantes. Con una longitud de más de 10 km, es una de las calles más largas de la ciudad.;
urn:ngsi-ld:PoI:021;PoI;Calle de Preciados;2;Calle_Preciados.jpg;Point;-3.70379,40.42019;0€;1000;La Calle de Preciados es una de las calles comerciales más importantes de Madrid, conocida por sus tiendas, restaurantes y ambiente animado. Es un lugar perfecto para ir de compras y disfrutar de la vida urbana.;
urn:ngsi-ld:PoI:023;PoI;Calle de Serrano;2;Calle_Serrano.jpg;Point;-3.686,40.430;0€;1000;La Calle de Serrano es una de las calles más exclusivas de Madrid, conocida por sus tiendas de lujo, boutiques y restaurantes de alta gama. Es un lugar ideal para ir de compras y disfrutar de la moda y la gastronomía.;
urn:ngsi-ld:PoI:045;PoI;Calle de Toledo;4;;Point;-3.707285,40.408612;0€;1000;La Calle de Toledo es una de las calles más antiguas de Madrid, conocida por su arquitectura histórica y sus tiendas tradicionales. Es un lugar ideal para pasear y descubrir la historia y la cultura de la ciudad.;
urn:ngsi-ld:PoI:054;PoI;Calle de Velázquez;4;;Point;-3.684504,40.41554;0€;1000;La Calle de Velázquez es una de las calles más elegantes de Madrid, conocida por sus tiendas de moda, galerías de arte y restaurantes de alta cocina. Es un lugar perfecto para disfrutar de la moda y la gastronomía.;
urn:ngsi-ld:PoI:172;PoI;Carretera de San Martín;5;;Point;-3.861295,40.371987;0€;500;Importante vía de comunicación que conecta estos municipios con el centro de Madrid.;
urn:ngsi-ld:PoI:173;PoI;Carretera de Villaviciosa de Odón;5;;Point;-3.900140,40.359097;0€;500;Importante vía de comunicación que conecta estos municipios con el centro de Madrid.;
urn:ngsi-ld:PoI:025;PoI;Casa de Campo;3;;Point;-3.745192,40.408734;0€;2000;La Casa de Campo es el mayor parque público de Madrid. Con una amplia variedad de actividades al aire libre, como senderismo, ciclismo y paseos en bote, es un lugar perfecto para disfrutar de la naturaleza.;
urn:ngsi-ld:PoI:073;PoI;Casa de Lope de Vega;4;;Point;-3.696371,40.414014;3€;50;La Casa de Lope de Vega es la antigua residencia del famoso escritor español Lope de Vega, ahora convertida en museo. Ofrece una visión de la vida y obra del dramaturgo.;
urn:ngsi-ld:PoI:065;PoI;Casa de Velázquez;4;;Point;-3.675,40.445;0€;50;La Casa de Velázquez es una institución cultural francesa en Madrid, que ofrece residencias artísticas y exposiciones de artistas contemporáneos. Su arquitectura moderna y su ubicación en la colina de Vallecas ofrecen vistas panorámicas de la ciudad.;
urn:ngsi-ld:PoI:168;PoI;Castillo de Villaviciosa de Odón;5;;Point;-3.900140,40.359097;0€;100;Un castillo histórico con visitas guiadas.;
urn:ngsi-ld:PoI:011;PoI;Catedral de la Almudena;2;catedral_almudena.jpeg;Point;-3.714915,40.415947;0€;200;La Catedral de la Almudena es la iglesia principal de Madrid y una de las más impresionantes arquitectónicamente. Con su combinación de estilos neogótico y neoclásico, es un lugar de culto y un punto de referencia importante en la ciudad.;
urn:ngsi-ld:PoI:167;PoI;Centro Comercial TresAguas;5;;Point;-3.831529,40.346626;0€;500;Un gran centro comercial con numerosas tiendas; restaurantes y opciones de entretenimiento.
