id,type,title,relevance,image,location_type,coordinates,price,description,capacity,occupancy
urn:ngsi-ld:PoI:10,PoI,Madrilana,4,,Point,"-3.711523,40.418901",0€,"Tienda de productos típicos madrileños, incluyendo dulces tradicionales y souvenirs.",66,33
urn:ngsi-ld:PoI:11,PoI,Gimnasio de Alta Intensidad,4,,Point,"-3.708779,40.420410",0€,Gimnasio especializado en entrenamiento de alta intensidad y clases grupales en un entorno moderno y equipado.,322,51
urn:ngsi-ld:PoI:12,PoI,Mirador del Parque de la Cebada,4,,Point,"-3.708510,40.417738",0€,"Mirador en el Parque de la Cebada, ofreciendo vistas del barrio y el entorno urbano.",524,135
urn:ngsi-ld:PoI:13,PoI,Restaurante La Sombra,3,,Point,"-3.705460,40.417744",0€,"Restaurante en el barrio de Malasaña, famoso por su comida casera y su ambiente acogedor.",578,59
urn:ngsi-ld:PoI:14,PoI,Librería del Prado,3,,Point,"-3.692282,40.417813",0€,"Librería ubicada cerca del Parque del Prado, ofreciendo una selección variada de libros y material educativo.",355,236
urn:ngsi-ld:PoI:15,PoI,Biblioteca de la Fundación Juan March,3,,Point,"-3.691410,40.423540",0€,Biblioteca y centro cultural con una rica colección de libros y programación cultural en el barrio de Chamberí.,578,421
urn:ngsi-ld:PoI:16,PoI,Real Academia de Bellas Artes de San Fernando,3,,Point,"-3.699897,40.417527",8€,"La Real Academia de Bellas Artes de San Fernando alberga una colección de arte que incluye pinturas, esculturas, grabados y más, abarcando desde el siglo XVI hasta la contemporaneidad.",578,435
urn:ngsi-ld:PoI:17,PoI,Discoteca Cadena,5,,Point,"-3.706268,40.418547",0€,"Discoteca con una amplia oferta de música y eventos en el centro de Madrid, ideal para una noche de diversión.",732,348
urn:ngsi-ld:PoI:18,PoI,Parque Regional del Curso Medio del Río Guadarrama,5,,Point,"-3.903591,40.470407",0€,Un área natural protegida ideal para senderismo y actividades al aire libre.,1258,715
urn:ngsi-ld:PoI:19,PoI,Tasca El Cava,4,,Point,"-3.707595,40.414184",0€,"Tasca tradicional en Lavapiés, conocida por su amplia variedad de tapas y su ambiente auténtico.",458,89
urn:ngsi-ld:PoI:20,PoI,Parque del Paraíso,4,,Point,"-3.624898,40.432917",0€,"El Parque del Paraíso es un gran espacio verde en el barrio de San Blas, ideal para actividades recreativas y disfrutar del aire libre.",578,244
urn:ngsi-ld:PoI:21,PoI,Discoteca El Son,4,,Point,"-3.707491,40.419294",0€,"Discoteca en el barrio de Malasaña, popular por sus noches de salsa y música latina en un ambiente animado.",578,552
urn:ngsi-ld:PoI:22,PoI,Hostal El Estudio,3,,Point,"-3.705978,40.423758",20-40€,"Hostal sencillo en el barrio de Chueca, con buena ubicación para explorar la vida nocturna y los sitios de interés cercanos.",578,348
urn:ngsi-ld:PoI:23,PoI,Hospital Clínico San Carlos,1,,Point,"-3.724746,40.429737",0€,"Uno de los principales hospitales de Madrid, conocido por su amplia gama de especialidades médicas y servicios de alta calidad.",1679,1067
urn:ngsi-ld:PoI:24,PoI,Librería El Dardo,3,,Point,"-3.702510,40.419484",0€,"Librería especializada en literatura de autoayuda y desarrollo personal, ubicada en el barrio de Malasaña.",578,279
urn:ngsi-ld:PoI:25,PoI,Mirador del CentroCentro,3,,Point,"-3.696940,40.419408",0€,"Mirador en el CentroCentro de Madrid, con vistas a la ciudad desde uno de los edificios emblemáticos.",524,71
urn:ngsi-ld:PoI:26,PoI,Teatro del Café de Chinitas,4,,Point,"-3.703070,40.417083",0€,Teatro histórico conocido por sus representaciones de flamenco y eventos culturales en un ambiente tradicional.,548,109
urn:ngsi-ld:PoI:27,PoI,Obra,4,,Point,"-3.702415,40.417941",0€,Espacio cultural en el barrio de Malasaña dedicado a las artes escénicas y exposiciones.,578,334
urn:ngsi-ld:PoI:28,PoI,Avenida de la Democracia,5,,Point,"-3.670927,40.437284",0€,"Vía importante en el distrito de Ciudad Lineal, que conecta diversas áreas residenciales y comerciales.",1968,185
urn:ngsi-ld:PoI:29,PoI,Mirador de la Ermita de San Isidro,4,,Point,"-3.711575,40.413800",0€,"Mirador en la Ermita de San Isidro, con vistas al casco histórico y a los alrededores de Madrid.",524,65
urn:ngsi-ld:PoI:30,PoI,Instituto de Educación Secundaria (IES) San Isidro,2,,Point,"-3.710060,40.414276",0€,"Instituto en el centro de Madrid, con una larga tradición educativa y un enfoque en la excelencia académica.",1544,1349
urn:ngsi-ld:PoI:31,PoI,Restaurante El Charro,4,,Point,"-3.705304,40.417622",0€,"Restaurante en el barrio de Vallehermoso, famoso por su comida mexicana y ambiente acogedor.",578,86
urn:ngsi-ld:PoI:32,PoI,Hotel AC Hotel Atocha,4,,Point,"-3.693211,40.406766",0€,"Hotel cercano a la estación de Atocha, ideal para viajeros y con un enfoque en el confort y el servicio de calidad.",1106,757
urn:ngsi-ld:PoI:33,PoI,Parque de Eva Duarte,4,,Point,"-3.675552,40.42962",0€,"El Parque de Eva Duarte, también conocido como Parque de Eva Perón, es un pequeño pero encantador espacio verde en el barrio de Salamanca, ideal para pasear y relajarse.",578,199
urn:ngsi-ld:PoI:34,PoI,Bulevar de la Avenida de América,4,,Point,"-3.668122,40.438445",0€,Vía importante que conecta diversos distritos y ofrece acceso a áreas comerciales y residenciales.,1968,346
urn:ngsi-ld:PoI:35,PoI,Consulado de Estados Unidos,2,,Point,"-3.689732,40.431476",0€,Consulado que proporciona servicios consulares y asistencia a ciudadanos estadounidenses en Madrid.,353,110
urn:ngsi-ld:PoI:36,PoI,Parque Lineal de Palomeras,4,,Point,"-3.647195,40.384307",0€,"El Parque Lineal de Palomeras es un espacio verde en el barrio de Puente de Vallecas, ideal para pasear, correr y disfrutar de la naturaleza.",578,285
urn:ngsi-ld:PoI:37,PoI,Dulce Tentación,4,,Point,"-3.703877,40.424399",0€,"Pastelería conocida por sus exquisiteces y ambiente acogedor, ubicada cerca de la Plaza de España.",66,50
urn:ngsi-ld:PoI:38,PoI,Museo Lázaro Galdiano,4,,Point,"-3.682977,40.433877",7€,"El Museo Lázaro Galdiano alberga una extensa colección de arte y objetos antiguos recopilados por el coleccionista José Lázaro Galdiano. Incluye pinturas, esculturas, joyas y más.",1171,1057
urn:ngsi-ld:PoI:39,PoI,Teatro Circo de Madrid,3,,Point,"-3.706831,40.418217",0€,Espacio histórico que alberga eventos de circo y teatro contemporáneo en el centro de Madrid.,548,77
urn:ngsi-ld:PoI:40,PoI,Iglesia de San José,4,,Point,"-3.703965,40.419337",0€,"Iglesia en el barrio de Lavapiés, conocida por su arquitectura clásica y su importancia en la comunidad local.",444,14
urn:ngsi-ld:PoI:41,PoI,Tasca de la Calle,4,,Point,"-3.705165,40.416587",0€,Tasca en el barrio de Chamberí con una excelente oferta de tapas y platos típicos en un ambiente relajado.,578,286
urn:ngsi-ld:PoI:42,PoI,Floristería Floralia,4,,Point,"-3.704769,40.421096",0€,"Tienda de flores conocida por su atención al detalle y su amplia variedad de arreglos florales, ubicada en el barrio de Chamberí.",58,7
urn:ngsi-ld:PoI:43,PoI,Churrería Valor,1,,Point,"-3.709691,40.419735",0€,"Famosa churrería en el barrio de Chueca, conocida por sus churros y chocolate a la taza de alta calidad.",36,35
urn:ngsi-ld:PoI:44,PoI,Mercado de Cuatro Caminos,4,,Point,"-3.708212,40.423739",0€,"Mercado situado en el barrio de Cuatro Caminos, conocido por su variedad de productos frescos y servicios locales.",444,110
urn:ngsi-ld:PoI:45,PoI,Plaza de España,3,,Point,"-3.712238,40.423782",0€,"La Plaza de España es una de las plazas más grandes y conocidas de Madrid. Es un punto de referencia importante, con monumentos como la estatua de Cervantes y los edificios Torre de Madrid y Edificio España.",1166,1130
urn:ngsi-ld:PoI:46,PoI,Sagrada Familia de Barcelona,4,,Point,"-3.710369,40.418972",0€,"Reproducción de la famosa basílica de Barcelona en un centro cultural local, destacada por su arquitectura.",444,190
urn:ngsi-ld:PoI:47,PoI,Bar El Garito,4,,Point,"-3.709074,40.417469",0€,Bar en Chamberí con una oferta variada de tapas y cócteles en un entorno moderno.,578,314
urn:ngsi-ld:PoI:48,PoI,Tasca La Pipa,4,,Point,"-3.704503,40.415688",0€,"Tasca en el barrio de Chueca, conocida por sus tapas innovadoras y ambiente relajado.",578,231
urn:ngsi-ld:PoI:49,PoI,Restaurante El Brillante,4,,Point,"-3.707881,40.417755",0€,"Restaurante tradicional en el barrio de Sol, conocido por su bocadillo de calamares y ambiente informal.",578,297
urn:ngsi-ld:PoI:50,PoI,Discoteca Sala 0,4,,Point,"-3.706875,40.418273",0€,"Discoteca en el centro de Madrid, famosa por sus fiestas temáticas y eventos musicales en un espacio versátil.",732,243
urn:ngsi-ld:PoI:51,PoI,Colegio Sagrado Corazón,3,,Point,"-3.710234,40.424478",0€,"Colegio en el barrio de Salamanca, conocido por su enfoque en la educación académica y formación personal.",578,394
urn:ngsi-ld:PoI:52,PoI,Hotel Eurostars Madrid Tower,2,,Point,"-3.708204,40.464858",0€,"Hotel de lujo en la Torre Espacio, con vistas panorámicas de la ciudad y modernas instalaciones.",1166,31
urn:ngsi-ld:PoI:53,PoI,Teatro La Encina,4,,Point,"-3.699731,40.415312",0€,"Teatro en el barrio de Malasaña, con una oferta variada de representaciones teatrales y eventos culturales.",578,87
urn:ngsi-ld:PoI:54,PoI,Pastelería Delicias,4,,Point,"-3.703123,40.418555",0€,"Pastelería en el barrio de Salamanca, destacada por sus delicias caseras y tartas personalizadas.",66,64
urn:ngsi-ld:PoI:55,PoI,Barrio de Tetúan,4,,Point,"-3.701238,40.451200",0€,"Barrio diverso con una mezcla de áreas residenciales y comerciales, conocido por su vida activa y oferta cultural.",578,1
urn:ngsi-ld:PoI:56,PoI,Restaurante La Cueva,4,,Point,"-3.709036,40.418860",0€,"Restaurante en el barrio de La Latina, conocido por su cocina de tapas y ambiente animado.",578,347
urn:ngsi-ld:PoI:57,PoI,Real Basílica de San Francisco el Grande,3,,Point,"-3.712216,40.410211",3€,La Real Basílica de San Francisco el Grande es una impresionante iglesia de estilo neoclásico que cuenta con una de las cúpulas más grandes de España y una magnífica colección de arte religioso.,741,406
urn:ngsi-ld:PoI:58,PoI,Bar El Rastro del Vino,4,,Point,"-3.705413,40.416788",0€,"Bar tradicional en el Rastro, con una amplia oferta de vinos y tapas en un ambiente acogedor.",578,252
urn:ngsi-ld:PoI:59,PoI,Colegio Vallehermoso,3,,Point,"-3.719132,40.427183",0€,"Colegio en el barrio de Vallehermoso, conocido por su enfoque académico y programas educativos diversificados.",578,417
urn:ngsi-ld:PoI:60,PoI,Palacio de Linares,4,,Point,"-3.691702,40.419313",10€,"El Palacio de Linares es una majestuosa mansión del siglo XIX situada en la Plaza de Cibeles. Actualmente alberga la Casa de América, un centro cultural que promueve las relaciones entre España y América Latina.",514,504
urn:ngsi-ld:PoI:61,PoI,Xerox,4,,Point,"-3.708892,40.417978",0€,"Centro de impresión y servicios en Madrid, especializado en soluciones de impresión y copiado.",1563,302
urn:ngsi-ld:PoI:62,PoI,Teatro de los Artistas,4,,Point,"-3.713007,40.418535",0€,Espacio dedicado a la representación teatral y eventos culturales en el centro de Madrid.,552,245
urn:ngsi-ld:PoI:63,PoI,Hospital Universitario de Getafe,3,,Point,"-3.733316,40.304630",0€,"Centro médico en las afueras de Madrid, reconocido por sus servicios especializados y su atención de calidad.",1474,560
urn:ngsi-ld:PoI:64,PoI,Hostal Acapulco,3,,Point,"-3.702287,40.418831",30-55€,"Hostal con una ubicación céntrica cerca de la Gran Vía, ofrece comodidad a buen precio y fácil acceso a las principales atracciones.",1968,932
urn:ngsi-ld:PoI:65,PoI,Parque del Casino de la Reina,4,,Point,"-3.704481,40.406672",0€,"El Parque del Casino de la Reina es un parque urbano en el barrio de Lavapiés, conocido por su ambiente multicultural y sus áreas de juego.",578,89
urn:ngsi-ld:PoI:66,PoI,Palacio de Cristal,3,,Point,"-3.683923,40.413787",0€,"El Palacio de Cristal, situado en el Parque del Retiro, es una impresionante estructura de hierro y vidrio construida en 1887. Actualmente se utiliza para exposiciones de arte contemporáneo.",1707,941
urn:ngsi-ld:PoI:67,PoI,Restaurante El Jardín Secreto,3,,Point,"-3.701453,40.418259",0€,"Restaurante con un encantador jardín interior, ubicado en el barrio de Malasaña, conocido por su ambiente acogedor y su comida deliciosa.",578,565
urn:ngsi-ld:PoI:68,PoI,Biblioteca Municipal Luis Rosales,4,,Point,"-3.706722,40.438290",0€,"Biblioteca pública en el distrito de Latina, con una amplia colección de libros y actividades culturales.",1662,1410
urn:ngsi-ld:PoI:69,PoI,Kiosco del Mercado de San Miguel,4,,Point,"-3.710132,40.415975",0€,"Kiosco dentro del Mercado de San Miguel, ofreciendo tapas, bebidas y productos locales en un ambiente gastronómico único.",66,9
urn:ngsi-ld:PoI:70,PoI,Bulevar de los Reyes Católicos,4,,Point,"-3.717098,40.424490",0€,"Vía importante en el distrito de Moncloa, con acceso a diversas tiendas y servicios.",656,126
urn:ngsi-ld:PoI:71,PoI,Colegio Nido de Águila,2,,Point,"-3.711413,40.436783",0€,"Colegio en el barrio de La Moraleja, con un enfoque en la formación integral y programas educativos innovadores.",578,428
urn:ngsi-ld:PoI:72,PoI,Delegación de Gobierno,5,,Point,"-3.706960,40.418549",0€,"Edificio gubernamental en el centro de Madrid, conocido por su arquitectura y su rol en la administración pública.",1270,399
urn:ngsi-ld:PoI:73,PoI,Calle de Princesa,4,,Point,"-3.711370,40.425332",0€,"Vía destacada en el barrio de Moncloa, conocida por sus tiendas, restaurantes y su cercanía a la Universidad Complutense.",656,201
urn:ngsi-ld:PoI:74,PoI,Mercado de la Paz,4,,Point,"-3.695782,40.425195",0€,"Mercado tradicional en el barrio de Salamanca, ofreciendo una variedad de productos frescos y locales.",444,287
urn:ngsi-ld:PoI:75,PoI,Mercado de Chamberí,4,,Point,"-3.701157,40.424557",0€,"Mercado tradicional con una amplia gama de productos frescos y una oferta gastronómica variada, ubicado en Chamberí.",1035,576
urn:ngsi-ld:PoI:76,PoI,Bulevar de las Cortes,5,,Point,"-3.709847,40.426258",0€,"Vía principal en el barrio de Chamberí, con acceso a zonas comerciales y residenciales.",578,344
urn:ngsi-ld:PoI:77,PoI,Museo del Jamón,4,,Point,"-3.703858,40.416015",5€,El Museo del Jamón es un popular establecimiento de Madrid donde se pueden degustar diferentes tipos de jamón y productos ibéricos. Es un lugar ideal para los amantes de la gastronomía española.,1171,522
urn:ngsi-ld:PoI:78,PoI,Plaza de Cibeles,2,cibeles.jpeg,Point,"-3.693461,40.419561",0€,"La Plaza de Cibeles es una de las plazas más emblemáticas de Madrid, conocida por la impresionante Fuente de Cibeles en su centro y por ser el punto de celebración de los aficionados del Real Madrid.",1563,857
urn:ngsi-ld:PoI:79,PoI,Sushi House,4,,Point,"-3.709235,40.417989",0€,"Restaurante de cocina japonesa en el barrio de Chamberí, famoso por su sushi fresco y ambiente moderno.",578,460
urn:ngsi-ld:PoI:80,PoI,Bulevar del Tajo,4,,Point,"-3.675620,40.442710",0€,"Vía destacada en el distrito de Chamartín, conocida por su acceso a zonas comerciales y residenciales.",1968,1596
urn:ngsi-ld:PoI:81,PoI,Barrio de La Latina,3,,Point,"-3.711394,40.410462",0€,"Barrio histórico conocido por sus tapas, mercados y ambiente animado, especialmente durante los fines de semana.",578,207
urn:ngsi-ld:PoI:82,PoI,Pastelería Mingo,4,,Point,"-3.708453,40.420218",0€,"Pastelería en el barrio de Chamartín, conocida por sus productos artesanales y tartas personalizadas.",66,61
urn:ngsi-ld:PoI:83,PoI,Tasca el Reloj,4,,Point,"-3.710870,40.413510",0€,Tasca en el barrio de Lavapiés con una amplia oferta de tapas y platos caseros en un entorno informal.,578,197
urn:ngsi-ld:PoI:84,PoI,Galería Madrileña,4,,Point,"-3.705965,40.419470",0€,"Galería de arte enfocada en artistas emergentes y exposiciones temporales, situada en el centro de Madrid.",1728,391
urn:ngsi-ld:PoI:85,PoI,Floristería Fina,4,,Point,"-3.705442,40.422156",0€,"Floristería con una oferta variada de flores frescas y decoraciones florales, ubicada cerca de la Gran Vía.",34,31
urn:ngsi-ld:PoI:86,PoI,Galería de Arte,3,,Point,"-3.706543,40.417232",0€,"Espacio dedicado a la exhibición de obras de arte contemporáneo y moderno, con exposiciones rotativas de artistas locales e internacionales.",444,378
urn:ngsi-ld:PoI:87,PoI,Templo de la Sagrada Familia,4,,Point,"-3.716553,40.413441",0€,"Parroquia con arquitectura destacada en Madrid, conocida por su diseño arquitectónico y valor histórico.",1314,1036
urn:ngsi-ld:PoI:88,PoI,Luna de Madrid,4,,Point,"-3.701781,40.418904",0€,"Centro de eventos y actividades culturales en el barrio de Lavapiés, conocido por sus exposiciones y eventos artísticos.",578,430
urn:ngsi-ld:PoI:89,PoI,CaixaForum Madrid,3,,Point,"-3.692167,40.410504",6€,"El CaixaForum Madrid es un centro cultural y de exposiciones que ofrece una variada programación de arte, música, conferencias y talleres. Su arquitectura moderna, con un jardín vertical en su fachada, es una atracción en sí misma.",1300,960
urn:ngsi-ld:PoI:90,PoI,Parque de la Vaguada,4,,Point,"-3.703477,40.478618",0€,"El Parque de la Vaguada es un espacio verde en el barrio de La Vaguada, con áreas de juego, pistas deportivas y un estanque. Es un lugar popular para familias y residentes locales.",444,89
urn:ngsi-ld:PoI:91,PoI,Colegio El Prado,3,,Point,"-3.706021,40.417663",0€,"Colegio en el barrio de Vallehermoso, con una amplia oferta educativa y un enfoque en la formación personal.",578,174
urn:ngsi-ld:PoI:92,PoI,Puerta del Sol,1,sol.jpg,Point,"-3.703834,40.416947",0€,"La Puerta del Sol es una de las plazas más famosas de Madrid. Es el kilómetro cero de las carreteras radiales de España y un lugar lleno de vida y actividad. Aquí se encuentra la famosa estatua del Oso y el Madroño, símbolo de la ciudad.",99999999999999999,29708
urn:ngsi-ld:PoI:93,PoI,Rastro de Madrid,3,,Point,"-3.709233,40.412039",0€,"Famoso mercado al aire libre que se celebra los domingos en el barrio de La Latina, conocido por sus antigüedades y artículos diversos.",578,200
urn:ngsi-ld:PoI:94,PoI,Gastrobar del Barrio,4,,Point,"-3.708103,40.419305",0€,"Restaurante de tapas y cocina creativa en un barrio tradicional de Madrid, con un enfoque en ingredientes locales y frescos.",444,194
urn:ngsi-ld:PoI:95,PoI,Tasca El Escondite,4,,Point,"-3.711093,40.417580",0€,"Tasca en el barrio de La Latina, conocida por sus tapas caseras y su ambiente auténtico.",578,110
urn:ngsi-ld:PoI:96,PoI,Avenida de Castilla,3,,Point,"-3.702146,40.425567",0€,Vía destacada que cruza varios barrios y ofrece una mezcla de espacios comerciales y residenciales.,578,243
urn:ngsi-ld:PoI:97,PoI,Rocío Jurado,4,,Point,"-3.705563,40.416198",0€,"Café y pastelería en el barrio de Chamberí, conocido por su ambiente acogedor y repostería casera.",66,13
urn:ngsi-ld:PoI:98,PoI,Avenida de Europa,5,,Point,"-3.669385,40.455721",0€,"Vía principal en el distrito de Chamartín, conocida por sus espacios comerciales y residenciales.",1968,1841
urn:ngsi-ld:PoI:99,PoI,Pastelería La Novena,4,,Point,"-3.712965,40.419056",0€,"Pastelería en el barrio de Chamartín, famosa por sus pasteles frescos y dulces tradicionales.",66,44
urn:ngsi-ld:PoI:100,PoI,Instituto Nacional de Técnica Aeroespacial,5,,Point,"-3.748972,40.492289",0€,"Centro de investigación y desarrollo en tecnología aeroespacial, con proyectos en aviación y exploración espacial.",1299,195
urn:ngsi-ld:PoI:101,PoI,Gimnasio al Aire Libre,4,,Point,"-3.692484,40.416053",0€,"Espacio de entrenamiento al aire libre en el Parque del Retiro, ideal para ejercicios y actividades físicas en un entorno verde.",799,519
urn:ngsi-ld:PoI:102,PoI,Calle de Hortaleza,4,,Point,"-3.702712,40.424123",0€,"Vía vibrante y comercial en el centro de Madrid, conocida por sus tiendas, bares y su proximidad a la Gran Vía.",656,10
urn:ngsi-ld:PoI:103,PoI,Azotea del Hotel Santo Domingo,4,,Point,"-3.711332,40.423215",0€,"Azotea con una piscina y vistas espectaculares a la ciudad, situada en el Hotel Santo Domingo, perfecta para relajarse y disfrutar del entorno urbano.",421,246
urn:ngsi-ld:PoI:104,PoI,Panadería La Violeta,4,,Point,"-3.711114,40.419348",0€,"Panadería en el barrio de Chamberí, conocida por su pan casero y pasteles frescos.",578,71
urn:ngsi-ld:PoI:105,PoI,Cines Callao,2,,Point,"-3.706257,40.419346",0€,"Popular cine ubicado en la Gran Vía, conocido por su arquitectura histórica y la proyección de estrenos y eventos especiales.",1968,1316
urn:ngsi-ld:PoI:106,PoI,Restaurante El Mercader,4,,Point,"-3.710264,40.417911",0€,"Restaurante en el barrio de Chueca, famoso por su cocina moderna y ambiente acogedor.",578,271
urn:ngsi-ld:PoI:107,PoI,Avenida de la Albufera,4,,Point,"-3.665580,40.399643",0€,"Importante avenida que cruza varios distritos de Madrid, conocida por sus comercios y zonas residenciales.",99999999999999999,29708
urn:ngsi-ld:PoI:108,PoI,Quinta de los Molinos,4,,Point,"-3.688611,40.439133",0€,"Espacio verde en el barrio de San Blas, conocido por su belleza natural y zonas recreativas.",578,308
urn:ngsi-ld:PoI:109,PoI,Rosa Paloma,4,,Point,"-3.709982,40.418701",0€,"Boutique de moda en el barrio de Salamanca, especializada en ropa femenina y accesorios de diseño.",578,435
urn:ngsi-ld:PoI:110,PoI,Teatro Español,3,,Point,"-3.703672,40.414524",5€,El Teatro Español es uno de los teatros más antiguos de Madrid y un importante centro cultural de la ciudad. Ofrece una amplia variedad de obras de teatro y otros eventos culturales.,548,13
urn:ngsi-ld:PoI:111,PoI,Edificio España,3,,Point,"-3.708780,40.421660",0€,"Rascacielos histórico en la Gran Vía, conocido por su arquitectura y su papel importante en el skyline de Madrid.",1968,1141
urn:ngsi-ld:PoI:112,PoI,Tasca La Gitanilla,3,,Point,"-3.711024,40.414320",0€,Tasca tradicional en el centro de Madrid con una excelente oferta de tapas y raciones.,458,70
urn:ngsi-ld:PoI:113,PoI,Instituto de Ciencias Sociales,4,,Point,"-3.707683,40.418225",0€,"Centro académico enfocado en la investigación en ciencias sociales, ofreciendo cursos, seminarios y publicaciones en el área.",440,224
urn:ngsi-ld:PoI:114,PoI,Bar La Botillería,4,,Point,"-3.708980,40.418135",0€,Bar en el centro de Madrid con una amplia selección de vinos y tapas en un ambiente relajado.,578,545
urn:ngsi-ld:PoI:115,PoI,Azotea del Hotel H10 Villa de la Reina,4,,Point,"-3.704950,40.419842",0€,"Azotea del Hotel H10 Villa de la Reina, con vistas a la Gran Vía y un ambiente relajado, ideal para disfrutar de una bebida al aire libre.",421,374
urn:ngsi-ld:PoI:116,PoI,Hospital de San Rafael,4,,Point,"-3.704712,40.426117",0€,"Centro médico en el barrio de Chamberí, reconocido por su atención especializada y servicios de salud.",578,38
urn:ngsi-ld:PoI:117,PoI,Jabón y Cía,4,,Point,"-3.701926,40.419308",0€,"Tienda especializada en productos de cuidado personal y cosméticos, con una amplia gama de jabones artesanales y otros artículos de belleza.",656,599
urn:ngsi-ld:PoI:118,PoI,Relojería Daniel,4,,Point,"-3.706804,40.416070",0€,"Tienda de relojes de lujo y accesorios en el barrio de Salamanca, conocida por su atención al detalle y selección de marcas.",656,591
urn:ngsi-ld:PoI:119,PoI,Biblioteca de Vallehermoso,3,,Point,"-3.728080,40.449241",0€,"Biblioteca pública en el distrito de Moncloa, con una buena colección de libros y actividades para la comunidad.",1662,1020
urn:ngsi-ld:PoI:120,PoI,Universidad Camilo José Cela (UCJC),2,,Point,"-3.702541,40.418855",0€,Universidad privada conocida por su innovadora oferta académica y enfoque en el emprendimiento.,1760,1262
urn:ngsi-ld:PoI:121,PoI,Kiosco del Retiro,4,,Point,"-3.689293,40.415136",0€,"Kiosco situado en el Parque del Retiro, ofreciendo bebidas y snacks para los visitantes del parque.",66,44
urn:ngsi-ld:PoI:122,PoI,Sede del Ayuntamiento de Madrid,2,,Point,"-3.707419,40.415058",0€,"Edificio histórico y sede del Ayuntamiento de Madrid, con arquitectura destacada y relevancia histórica.",1270,1149
urn:ngsi-ld:PoI:123,PoI,Valdebebas,2,,Point,"-3.660916,40.498657",0€,"Zona de desarrollo urbano en Madrid con nuevas instalaciones y espacios verdes, además de áreas residenciales y comerciales.",1659,1044
urn:ngsi-ld:PoI:124,PoI,Centro Comercial TresAguas,5,,Point,"-3.831529,40.346626",0€,Un gran centro comercial con numerosas tiendas,656,406
urn:ngsi-ld:PoI:125,PoI,Dulce y Salado,4,,Point,"-3.704283,40.419502",0€,"Restaurante conocido por su variada oferta de platos dulces y salados, ubicado cerca de la Plaza de España.",66,15
urn:ngsi-ld:PoI:126,PoI,Parque de Aluche,4,,Point,"-3.753082,40.389302",0€,"El Parque de Aluche es un gran espacio verde en el barrio de Aluche, con áreas de juego, pistas deportivas y un ambiente familiar.",578,135
urn:ngsi-ld:PoI:127,PoI,Bar El Paseo,4,,Point,"-3.705482,40.417597",0€,Bar en el barrio de Lavapiés con una oferta de tapas tradicionales y cócteles en un entorno vibrante.,578,207
urn:ngsi-ld:PoI:128,PoI,Kiosco de la Plaza de Cibeles,4,,Point,"-3.693548,40.423832",0€,"Kiosco situado en la Plaza de Cibeles, con una oferta de bebidas, snacks y prensa en una de las plazas más emblemáticas de Madrid.",66,57
urn:ngsi-ld:PoI:129,PoI,Barrio de San Blas,3,,Point,"-3.647792,40.399618",0€,Barrio conocido por su ambiente familiar y su mezcla de espacios comerciales y residenciales.,578,310
